institutionCode,catalogNumber,otherIdentifier,otherNumber,month,year,binomial,Freshly_killed,massing,totalLength,tailLength,headbodyLength,sex,ageClass,reproductivelyActive,Liver_mass,Cecum_full_mass,Cecum_length,Cecum_curved_length,Cecum_empty_mass,Cecum_dry_mass,Stomach_full_mass,Stomach_length,Stomach_curved_length,Stomach_empty_mass,Stomach_dry_mass,LI_full_mass,LI_length,LI_empty_mass,LI_dry_mass,SI_full_mass,SI_length,SI_empty_mass,SI_dry_mass,Intestine_full_mass (shrew/mole only),Intestine_length (shrew/mole only),Intestine_empty_mass (shrew/mole only),Intestine_dry_mass (shrew/mole only),Total_GI_length ,Total_GI_length_scaled
UNCG,241,,,May,2022,Blarina brevicauda,No ,16.5,120,24,96,Female,adult,Yes,,,,,,,0.2404,18,21,0.1312,0.0248,,,,,,,,,1.6636,473,0.4981,0.0742,494,5.145833333
UNCG,243,,,May,2022,Sorex cinereus,No ,4.5,100,41,59,Male,adult,No,,,,,,,0.0699,20,21,0.0256,0.0029,,,,,,,,,0.517,219,0.1385,0.0188,240,4.06779661
UNCG,244,,,May,2022,Sorex cinereus,No ,5,99,43,56,Male,adult,No,,,,,,,0.1791,14,20,0.0296,0.0052,,,,,,,,,0.507,250,0.16,0.0218,270,4.821428571
UNCG,245,,,May,2022,Sorex cinereus,No ,4.25,98,39,59,Male,adult,No,,,,,,,0.0457,11,14,0.027,0.0048,,,,,,,,,0.3909,193,0.156,0.019,207,3.508474576
UNCG,246,,,May,2022,Sorex cinereus,No ,3.25,93,33,60,Male,adult,No,,,,,,,0.0687,9,12,0.0327,0.0065,,,,,,,,,0.3775,158,0.1518,0.0256,170,2.833333333
UNCG,248,,,May,2022,Sorex cinereus,No ,3,98,42,56,Male,adult,No,,,,,,,0.0461,9,12,0.0309,0.0053,,,,,,,,,0.3011,149,0.152,0.0214,161,2.875
UNCG,250,,,May,2022,Sorex fumeus ,No ,6.5,120,49,71,Male,adult,No,,,,,,,0.1534,20,23,0.0966,0.0168,,,,,,,,,0.7662,196,0.2152,0.0345,219,3.084507042
UNCG,252,,,June,2022,Rattus norvegicus,No ,230,[365],181,[184],Female,adult,No,14.4791,2.6555,54,70,0.5946,0.0955,3.7618,50,68,1.4934,0.3223,1.6637,146,0.7091,0.1403,14.0979,1462,5.1524,1.1057,,,,,1746,9.489130435
UNCG,253,,,June,2022,Peromyscus maniculatus ,Yes,17.25,171,97,74,Female,adult,Yes,0.7629,0.6652,29,32,0.1382,0.0203,0.4557,27,30,0.3536,0.073,0.3665,112,0.1496,0.0245,1.2546,304,0.3928,0.0741,,,,,478,6.459459459
UNCG,254,,,June,2022,Peromyscus maniculatus ,Yes,15,[132],[59],73,Male,adult,No,0.5334,0.5366,28,35,0.106,0.0169,0.2916,26,32,0.2532,0.0489,0.131,64,0.0802,0.0145,0.88,286,0.3263,0.0558,,,,,417,5.712328767
UNCG,255,,,June,2022,Peromyscus maniculatus ,Yes,15.5,176,99,77,Male,adult,No,0.5712,0.465,31,34,0.0812,0.0129,0.3277,28,30,0.2634,0.0534,0.1184,80,0.0673,0.0128,0.9216,357,0.3649,0.0743,,,,,501,6.506493506
UNCG,256,,,June,2022,Peromyscus maniculatus ,Yes,17.25,[168],[74],94,Female,adult,No,0.8307,0.4411,38,38,0.1052,0.0181,0.3644,26,38,0.301,0.0605,0.1932,100,0.0787,0.014,0.9337,337,0.3371,0.0671,,,,,513,5.457446809
UNCG,257,,,June,2022,Peromyscus maniculatus ,Yes,17,179,92,87,Male,adult,No,0.5343,0.577,32,38,0.0808,0.0136,0.2681,23,30,0.2576,0.0504,0.1744,101,0.0811,0.0143,0.8887,306,0.3099,0.059,,,,,475,5.459770115
UNCG,258,,,June,2022,Sorex fumeus ,No ,5.75,116,48,68,Female,adult,No,0.2614,,,,,,0.0683,14,15,0.0447,0.0076,,,,,,,,,0.6168,191,0.243,0.0432,206,3.029411765
UNCG,259,,,June,2022,Peromyscus maniculatus ,Yes,20.5,165,84,81,Female,adult,Yes,0.7088,0.2764,34,36,0.0687,0.0116,0.3183,24,31,0.2756,0.0571,0.2149,97,0.0774,0.0131,0.6958,307,0.2287,0.0411,,,,,471,5.814814815
UNCG,260,,,June,2022,Peromyscus maniculatus ,Yes,15.5,175,102,73,Male,adult,Yes,0.6123,0.3626,41,42,0.1276,0.0193,0.2917,25,28,0.2747,0.0532,0.1905,89,0.0719,0.0125,0.9051,260,0.2549,0.0481,,,,,419,5.739726027
UNCG,261,,,June,2022,Myodes gapperi,No ,19.5,134,38,96,Female,adult,No,1.1414,1.9563,110,110,0.3484,0.0171,0.4383,27,36,0.2459,0.0515,0.6722,210,0.2248,0.0401,1.4209,517,0.5229,0.0938,,,,,873,9.09375
UNCG,288,,,July,2022,Peromyscus maniculatus ,Yes,17.25,199,97,102,Female,adult,No,,0.6622,37,44,0.1341,0.0211,0.4955,24,36,0.418,0.089,0.2575,95,0.1612,0.0294,1.1683,362,0.4048,0.0827,,,,,537,5.264705882
